"ticker","year","ar_downloaded","ar_pdf_path","ar_txt_path","k1_ai_core","k2_digital_tech","k3_digital_transformation","aid_binary","total_words","ai_keyword_hits","aid_frequency","coder","review_date","notes"
"MTDL","2019","0",".\data\annual_reports\MTDL_2019_AR.pdf",".\output\annual_reports_txt\MTDL_2019_AR.txt","","","","","","","","","",""
"MTDL","2020","0",".\data\annual_reports\MTDL_2020_AR.pdf",".\output\annual_reports_txt\MTDL_2020_AR.txt","","","","","","","","","",""
"MTDL","2021","0",".\data\annual_reports\MTDL_2021_AR.pdf",".\output\annual_reports_txt\MTDL_2021_AR.txt","","","","","","","","","",""
"MTDL","2022","0",".\data\annual_reports\MTDL_2022_AR.pdf",".\output\annual_reports_txt\MTDL_2022_AR.txt","","","","","","","","","",""
"MTDL","2023","0",".\data\annual_reports\MTDL_2023_AR.pdf",".\output\annual_reports_txt\MTDL_2023_AR.txt","","","","","","","","","",""
"MTDL","2024","0",".\data\annual_reports\MTDL_2024_AR.pdf",".\output\annual_reports_txt\MTDL_2024_AR.txt","","","","","","","","","",""
"MTDL","2025","0",".\data\annual_reports\MTDL_2025_AR.pdf",".\output\annual_reports_txt\MTDL_2025_AR.txt","","","","","","","","","",""
"LMAS","2019","0",".\data\annual_reports\LMAS_2019_AR.pdf",".\output\annual_reports_txt\LMAS_2019_AR.txt","","","","","","","","","",""
"LMAS","2020","0",".\data\annual_reports\LMAS_2020_AR.pdf",".\output\annual_reports_txt\LMAS_2020_AR.txt","","","","","","","","","",""
"LMAS","2021","0",".\data\annual_reports\LMAS_2021_AR.pdf",".\output\annual_reports_txt\LMAS_2021_AR.txt","","","","","","","","","",""
"LMAS","2022","0",".\data\annual_reports\LMAS_2022_AR.pdf",".\output\annual_reports_txt\LMAS_2022_AR.txt","","","","","","","","","",""
"LMAS","2023","0",".\data\annual_reports\LMAS_2023_AR.pdf",".\output\annual_reports_txt\LMAS_2023_AR.txt","","","","","","","","","",""
