"ticker","year","ar_pdf_path","ar_txt_path","ar_downloaded","ai_keyword_hits_auto","ai_keyword_hits_manual","match_flag","reviewer_note"
"MTDL","2019",".\data\annual_reports\MTDL_2019_AR.pdf",".\output\annual_reports_txt\MTDL_2019_AR.txt","0","","","",""
"LMAS","2022",".\data\annual_reports\LMAS_2022_AR.pdf",".\output\annual_reports_txt\LMAS_2022_AR.txt","0","","","",""
"PTSN","2025",".\data\annual_reports\PTSN_2025_AR.pdf",".\output\annual_reports_txt\PTSN_2025_AR.txt","0","","","",""
"MLPT","2021",".\data\annual_reports\MLPT_2021_AR.pdf",".\output\annual_reports_txt\MLPT_2021_AR.txt","0","","","",""
"ATIC","2024",".\data\annual_reports\ATIC_2024_AR.pdf",".\output\annual_reports_txt\ATIC_2024_AR.txt","0","","","",""
"MCAS","2020",".\data\annual_reports\MCAS_2020_AR.pdf",".\output\annual_reports_txt\MCAS_2020_AR.txt","0","","","",""
"NFCX","2023",".\data\annual_reports\NFCX_2023_AR.pdf",".\output\annual_reports_txt\NFCX_2023_AR.txt","0","","","",""
"LUCK","2019",".\data\annual_reports\LUCK_2019_AR.pdf",".\output\annual_reports_txt\LUCK_2019_AR.txt","0","","","",""
"ISAT","2022",".\data\annual_reports\ISAT_2022_AR.pdf",".\output\annual_reports_txt\ISAT_2022_AR.txt","0","","","",""
"TLKM","2025",".\data\annual_reports\TLKM_2025_AR.pdf",".\output\annual_reports_txt\TLKM_2025_AR.txt","0","","","",""
"CENT","2021",".\data\annual_reports\CENT_2021_AR.pdf",".\output\annual_reports_txt\CENT_2021_AR.txt","0","","","",""
"EXCL","2024",".\data\annual_reports\EXCL_2024_AR.pdf",".\output\annual_reports_txt\EXCL_2024_AR.txt","0","","","",""
"FREN","2020",".\data\annual_reports\FREN_2020_AR.pdf",".\output\annual_reports_txt\FREN_2020_AR.txt","0","","","",""
"TOWR","2023",".\data\annual_reports\TOWR_2023_AR.pdf",".\output\annual_reports_txt\TOWR_2023_AR.txt","0","","","",""
"SUPR","2019",".\data\annual_reports\SUPR_2019_AR.pdf",".\output\annual_reports_txt\SUPR_2019_AR.txt","0","","","",""
"IBST","2022",".\data\annual_reports\IBST_2022_AR.pdf",".\output\annual_reports_txt\IBST_2022_AR.txt","0","","","",""
"BALI","2025",".\data\annual_reports\BALI_2025_AR.pdf",".\output\annual_reports_txt\BALI_2025_AR.txt","0","","","",""
"OASA","2021",".\data\annual_reports\OASA_2021_AR.pdf",".\output\annual_reports_txt\OASA_2021_AR.txt","0","","","",""
"LCKM","2024",".\data\annual_reports\LCKM_2024_AR.pdf",".\output\annual_reports_txt\LCKM_2024_AR.txt","0","","","",""
