variable,price,ret,tq,roa,roe,npm,cr,der,tato,eps,size,growth,age,vol,aid,ii
price,1,1,0.942428,0.97027,0.973213,0.970117,0.972101,-0.913103,0.959041,0.996593,0.993785,1,0.938315,0.847356,0.938315,0.918562
ret,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1
tq,0.942428,1,1,0.995254,0.986621,0.995363,0.990928,-0.978113,0.998433,0.966147,0.935356,1,0.834913,0.654984,0.834913,0.979845
roa,0.97027,1,0.995254,1,0.993345,0.999813,0.998081,-0.973326,0.999086,0.986637,0.964637,1,0.871132,0.714775,0.871132,0.976073
roe,0.973213,1,0.986621,0.993345,1,0.99526,0.985524,-0.941277,0.990683,0.984862,0.95543,1,0.913376,0.766336,0.913376,0.945183
npm,0.970117,1,0.995363,0.999813,0.99526,1,0.996736,-0.969465,0.998878,0.986201,0.962334,1,0.876916,0.720356,0.876916,0.972343
cr,0.972101,1,0.990928,0.998081,0.985524,0.996736,1,-0.980861,0.996569,0.988058,0.973112,1,0.857005,0.705594,0.857005,0.983375
der,-0.913103,-1,-0.978113,-0.973326,-0.941277,-0.969465,-0.980861,1,-0.978126,-0.94198,-0.929117,-1,-0.74031,-0.55825,-0.74031,-0.999907
tato,0.959041,1,0.998433,0.999086,0.990683,0.998878,0.996569,-0.978126,1,0.97881,0.953644,1,0.853634,0.686706,0.853634,0.980372
eps,0.996593,1,0.966147,0.986637,0.984862,0.986201,0.988058,-0.94198,0.97881,1,0.992087,1,0.917663,0.804332,0.917663,0.94647
size,0.993785,1,0.935356,0.964637,0.95543,0.962334,0.973112,-0.929117,0.953644,0.992087,1,1,0.898236,0.808891,0.898236,0.933776
growth,1,1,1,1,1,1,1,-1,1,1,1,1,1,1,1,1
age,0.938315,1,0.834913,0.871132,0.913376,0.876916,0.857005,-0.74031,0.853634,0.917663,0.898236,1,1,0.956183,1,0.749195
vol,0.847356,1,0.654984,0.714775,0.766336,0.720356,0.705594,-0.55825,0.686706,0.804332,0.808891,1,0.956183,1,0.956183,0.569512
aid,0.938315,1,0.834913,0.871132,0.913376,0.876916,0.857005,-0.74031,0.853634,0.917663,0.898236,1,1,0.956183,1,0.749195
ii,0.918562,1,0.979845,0.976073,0.945183,0.972343,0.983375,-0.999907,0.980372,0.94647,0.933776,1,0.749195,0.569512,0.749195,1
