"firm_id","ticker","company_name","year","fs_pdf_path","ar_pdf_path","price_csv_path","fs_downloaded","ar_downloaded","price_downloaded","extraction_done","notes"
"MTDL","MTDL","Metrodata Electronics Tbk","2019",".\data\raw\MTDL_2019_FS.pdf",".\data\annual_reports\MTDL_2019_AR.pdf",".\data\prices\prices_MTDL.JK.csv","0","0","0","",""
"MTDL","MTDL","Metrodata Electronics Tbk","2020",".\data\raw\MTDL_2020_FS.pdf",".\data\annual_reports\MTDL_2020_AR.pdf",".\data\prices\prices_MTDL.JK.csv","0","0","0","",""
"MTDL","MTDL","Metrodata Electronics Tbk","2021",".\data\raw\MTDL_2021_FS.pdf",".\data\annual_reports\MTDL_2021_AR.pdf",".\data\prices\prices_MTDL.JK.csv","0","0","0","",""
"MTDL","MTDL","Metrodata Electronics Tbk","2022",".\data\raw\MTDL_2022_FS.pdf",".\data\annual_reports\MTDL_2022_AR.pdf",".\data\prices\prices_MTDL.JK.csv","0","0","0","",""
"MTDL","MTDL","Metrodata Electronics Tbk","2023",".\data\raw\MTDL_2023_FS.pdf",".\data\annual_reports\MTDL_2023_AR.pdf",".\data\prices\prices_MTDL.JK.csv","0","0","0","",""
"MTDL","MTDL","Metrodata Electronics Tbk","2024",".\data\raw\MTDL_2024_FS.pdf",".\data\annual_reports\MTDL_2024_AR.pdf",".\data\prices\prices_MTDL.JK.csv","0","0","0","",""
"MTDL","MTDL","Metrodata Electronics Tbk","2025",".\data\raw\MTDL_2025_FS.pdf",".\data\annual_reports\MTDL_2025_AR.pdf",".\data\prices\prices_MTDL.JK.csv","0","0","0","",""
"LMAS","LMAS","Limas Indonesia Makmur Tbk","2019",".\data\raw\LMAS_2019_FS.pdf",".\data\annual_reports\LMAS_2019_AR.pdf",".\data\prices\prices_LMAS.JK.csv","0","0","0","",""
"LMAS","LMAS","Limas Indonesia Makmur Tbk","2020",".\data\raw\LMAS_2020_FS.pdf",".\data\annual_reports\LMAS_2020_AR.pdf",".\data\prices\prices_LMAS.JK.csv","0","0","0","",""
"LMAS","LMAS","Limas Indonesia Makmur Tbk","2021",".\data\raw\LMAS_2021_FS.pdf",".\data\annual_reports\LMAS_2021_AR.pdf",".\data\prices\prices_LMAS.JK.csv","0","0","0","",""
"LMAS","LMAS","Limas Indonesia Makmur Tbk","2022",".\data\raw\LMAS_2022_FS.pdf",".\data\annual_reports\LMAS_2022_AR.pdf",".\data\prices\prices_LMAS.JK.csv","0","0","0","",""
"LMAS","LMAS","Limas Indonesia Makmur Tbk","2023",".\data\raw\LMAS_2023_FS.pdf",".\data\annual_reports\LMAS_2023_AR.pdf",".\data\prices\prices_LMAS.JK.csv","0","0","0","",""
"LMAS","LMAS","Limas Indonesia Makmur Tbk","2024",".\data\raw\LMAS_2024_FS.pdf",".\data\annual_reports\LMAS_2024_AR.pdf",".\data\prices\prices_LMAS.JK.csv","0","0","0","",""
"LMAS","LMAS","Limas Indonesia Makmur Tbk","2025",".\data\raw\LMAS_2025_FS.pdf",".\data\annual_reports\LMAS_2025_AR.pdf",".\data\prices\prices_LMAS.JK.csv","0","0","0","",""
"PTSN","PTSN","Sat Nusapersada Tbk","2019",".\data\raw\PTSN_2019_FS.pdf",".\data\annual_reports\PTSN_2019_AR.pdf",".\data\prices\prices_PTSN.JK.csv","0","0","0","",""
"PTSN","PTSN","Sat Nusapersada Tbk","2020",".\data\raw\PTSN_2020_FS.pdf",".\data\annual_reports\PTSN_2020_AR.pdf",".\data\prices\prices_PTSN.JK.csv","0","0","0","",""
"PTSN","PTSN","Sat Nusapersada Tbk","2021",".\data\raw\PTSN_2021_FS.pdf",".\data\annual_reports\PTSN_2021_AR.pdf",".\data\prices\prices_PTSN.JK.csv","0","0","0","",""
"PTSN","PTSN","Sat Nusapersada Tbk","2022",".\data\raw\PTSN_2022_FS.pdf",".\data\annual_reports\PTSN_2022_AR.pdf",".\data\prices\prices_PTSN.JK.csv","0","0","0","",""
"PTSN","PTSN","Sat Nusapersada Tbk","2023",".\data\raw\PTSN_2023_FS.pdf",".\data\annual_reports\PTSN_2023_AR.pdf",".\data\prices\prices_PTSN.JK.csv","0","0","0","",""
"PTSN","PTSN","Sat Nusapersada Tbk","2024",".\data\raw\PTSN_2024_FS.pdf",".\data\annual_reports\PTSN_2024_AR.pdf",".\data\prices\prices_PTSN.JK.csv","0","0","0","",""
"PTSN","PTSN","Sat Nusapersada Tbk","2025",".\data\raw\PTSN_2025_FS.pdf",".\data\annual_reports\PTSN_2025_AR.pdf",".\data\prices\prices_PTSN.JK.csv","0","0","0","",""
"SKYB","SKYB","Northcliff Citranusa Indonesia Tbk","2019",".\data\raw\SKYB_2019_FS.pdf",".\data\annual_reports\SKYB_2019_AR.pdf",".\data\prices\prices_SKYB.JK.csv","0","0","0","",""
"SKYB","SKYB","Northcliff Citranusa Indonesia Tbk","2020",".\data\raw\SKYB_2020_FS.pdf",".\data\annual_reports\SKYB_2020_AR.pdf",".\data\prices\prices_SKYB.JK.csv","0","0","0","",""
"SKYB","SKYB","Northcliff Citranusa Indonesia Tbk","2021",".\data\raw\SKYB_2021_FS.pdf",".\data\annual_reports\SKYB_2021_AR.pdf",".\data\prices\prices_SKYB.JK.csv","0","0","0","",""
"SKYB","SKYB","Northcliff Citranusa Indonesia Tbk","2022",".\data\raw\SKYB_2022_FS.pdf",".\data\annual_reports\SKYB_2022_AR.pdf",".\data\prices\prices_SKYB.JK.csv","0","0","0","",""
"SKYB","SKYB","Northcliff Citranusa Indonesia Tbk","2023",".\data\raw\SKYB_2023_FS.pdf",".\data\annual_reports\SKYB_2023_AR.pdf",".\data\prices\prices_SKYB.JK.csv","0","0","0","",""
"SKYB","SKYB","Northcliff Citranusa Indonesia Tbk","2024",".\data\raw\SKYB_2024_FS.pdf",".\data\annual_reports\SKYB_2024_AR.pdf",".\data\prices\prices_SKYB.JK.csv","0","0","0","",""
"SKYB","SKYB","Northcliff Citranusa Indonesia Tbk","2025",".\data\raw\SKYB_2025_FS.pdf",".\data\annual_reports\SKYB_2025_AR.pdf",".\data\prices\prices_SKYB.JK.csv","0","0","0","",""
"MLPT","MLPT","Multipolar Technology Tbk","2019",".\data\raw\MLPT_2019_FS.pdf",".\data\annual_reports\MLPT_2019_AR.pdf",".\data\prices\prices_MLPT.JK.csv","0","0","0","",""
"MLPT","MLPT","Multipolar Technology Tbk","2020",".\data\raw\MLPT_2020_FS.pdf",".\data\annual_reports\MLPT_2020_AR.pdf",".\data\prices\prices_MLPT.JK.csv","0","0","0","",""
"MLPT","MLPT","Multipolar Technology Tbk","2021",".\data\raw\MLPT_2021_FS.pdf",".\data\annual_reports\MLPT_2021_AR.pdf",".\data\prices\prices_MLPT.JK.csv","0","0","0","",""
"MLPT","MLPT","Multipolar Technology Tbk","2022",".\data\raw\MLPT_2022_FS.pdf",".\data\annual_reports\MLPT_2022_AR.pdf",".\data\prices\prices_MLPT.JK.csv","0","0","0","",""
"MLPT","MLPT","Multipolar Technology Tbk","2023",".\data\raw\MLPT_2023_FS.pdf",".\data\annual_reports\MLPT_2023_AR.pdf",".\data\prices\prices_MLPT.JK.csv","0","0","0","",""
"MLPT","MLPT","Multipolar Technology Tbk","2024",".\data\raw\MLPT_2024_FS.pdf",".\data\annual_reports\MLPT_2024_AR.pdf",".\data\prices\prices_MLPT.JK.csv","0","0","0","",""
"MLPT","MLPT","Multipolar Technology Tbk","2025",".\data\raw\MLPT_2025_FS.pdf",".\data\annual_reports\MLPT_2025_AR.pdf",".\data\prices\prices_MLPT.JK.csv","0","0","0","",""
