"ticker","year","company_name","expected_ar_pdf","source_hint"
"MTDL","2019","Metrodata Electronics Tbk",".\data\annual_reports\MTDL_2019_AR.pdf","IDX / Company website > Annual Report"
"MTDL","2020","Metrodata Electronics Tbk",".\data\annual_reports\MTDL_2020_AR.pdf","IDX / Company website > Annual Report"
"MTDL","2021","Metrodata Electronics Tbk",".\data\annual_reports\MTDL_2021_AR.pdf","IDX / Company website > Annual Report"
"MTDL","2022","Metrodata Electronics Tbk",".\data\annual_reports\MTDL_2022_AR.pdf","IDX / Company website > Annual Report"
"MTDL","2023","Metrodata Electronics Tbk",".\data\annual_reports\MTDL_2023_AR.pdf","IDX / Company website > Annual Report"
"MTDL","2024","Metrodata Electronics Tbk",".\data\annual_reports\MTDL_2024_AR.pdf","IDX / Company website > Annual Report"
"MTDL","2025","Metrodata Electronics Tbk",".\data\annual_reports\MTDL_2025_AR.pdf","IDX / Company website > Annual Report"
"LMAS","2019","Limas Indonesia Makmur Tbk",".\data\annual_reports\LMAS_2019_AR.pdf","IDX / Company website > Annual Report"
"LMAS","2020","Limas Indonesia Makmur Tbk",".\data\annual_reports\LMAS_2020_AR.pdf","IDX / Company website > Annual Report"
"LMAS","2021","Limas Indonesia Makmur Tbk",".\data\annual_reports\LMAS_2021_AR.pdf","IDX / Company website > Annual Report"
"LMAS","2022","Limas Indonesia Makmur Tbk",".\data\annual_reports\LMAS_2022_AR.pdf","IDX / Company website > Annual Report"
"LMAS","2023","Limas Indonesia Makmur Tbk",".\data\annual_reports\LMAS_2023_AR.pdf","IDX / Company website > Annual Report"
"LMAS","2024","Limas Indonesia Makmur Tbk",".\data\annual_reports\LMAS_2024_AR.pdf","IDX / Company website > Annual Report"
"LMAS","2025","Limas Indonesia Makmur Tbk",".\data\annual_reports\LMAS_2025_AR.pdf","IDX / Company website > Annual Report"
"PTSN","2019","Sat Nusapersada Tbk",".\data\annual_reports\PTSN_2019_AR.pdf","IDX / Company website > Annual Report"
"PTSN","2020","Sat Nusapersada Tbk",".\data\annual_reports\PTSN_2020_AR.pdf","IDX / Company website > Annual Report"
"PTSN","2021","Sat Nusapersada Tbk",".\data\annual_reports\PTSN_2021_AR.pdf","IDX / Company website > Annual Report"
"PTSN","2022","Sat Nusapersada Tbk",".\data\annual_reports\PTSN_2022_AR.pdf","IDX / Company website > Annual Report"
"PTSN","2023","Sat Nusapersada Tbk",".\data\annual_reports\PTSN_2023_AR.pdf","IDX / Company website > Annual Report"
"PTSN","2024","Sat Nusapersada Tbk",".\data\annual_reports\PTSN_2024_AR.pdf","IDX / Company website > Annual Report"
"PTSN","2025","Sat Nusapersada Tbk",".\data\annual_reports\PTSN_2025_AR.pdf","IDX / Company website > Annual Report"
"SKYB","2019","Northcliff Citranusa Indonesia Tbk",".\data\annual_reports\SKYB_2019_AR.pdf","IDX / Company website > Annual Report"
"SKYB","2020","Northcliff Citranusa Indonesia Tbk",".\data\annual_reports\SKYB_2020_AR.pdf","IDX / Company website > Annual Report"
"SKYB","2021","Northcliff Citranusa Indonesia Tbk",".\data\annual_reports\SKYB_2021_AR.pdf","IDX / Company website > Annual Report"
"SKYB","2022","Northcliff Citranusa Indonesia Tbk",".\data\annual_reports\SKYB_2022_AR.pdf","IDX / Company website > Annual Report"
"SKYB","2023","Northcliff Citranusa Indonesia Tbk",".\data\annual_reports\SKYB_2023_AR.pdf","IDX / Company website > Annual Report"
"SKYB","2024","Northcliff Citranusa Indonesia Tbk",".\data\annual_reports\SKYB_2024_AR.pdf","IDX / Company website > Annual Report"
"SKYB","2025","Northcliff Citranusa Indonesia Tbk",".\data\annual_reports\SKYB_2025_AR.pdf","IDX / Company website > Annual Report"
"MLPT","2019","Multipolar Technology Tbk",".\data\annual_reports\MLPT_2019_AR.pdf","IDX / Company website > Annual Report"
"MLPT","2020","Multipolar Technology Tbk",".\data\annual_reports\MLPT_2020_AR.pdf","IDX / Company website > Annual Report"
"MLPT","2021","Multipolar Technology Tbk",".\data\annual_reports\MLPT_2021_AR.pdf","IDX / Company website > Annual Report"
