"ticker","year","company_name","expected_fs_pdf","source_hint"
"MTDL","2019","Metrodata Electronics Tbk",".\data\raw\MTDL_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"MTDL","2020","Metrodata Electronics Tbk",".\data\raw\MTDL_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"MTDL","2021","Metrodata Electronics Tbk",".\data\raw\MTDL_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"MTDL","2022","Metrodata Electronics Tbk",".\data\raw\MTDL_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"MTDL","2023","Metrodata Electronics Tbk",".\data\raw\MTDL_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"MTDL","2024","Metrodata Electronics Tbk",".\data\raw\MTDL_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"MTDL","2025","Metrodata Electronics Tbk",".\data\raw\MTDL_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"LMAS","2019","Limas Indonesia Makmur Tbk",".\data\raw\LMAS_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"LMAS","2020","Limas Indonesia Makmur Tbk",".\data\raw\LMAS_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"LMAS","2021","Limas Indonesia Makmur Tbk",".\data\raw\LMAS_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"LMAS","2022","Limas Indonesia Makmur Tbk",".\data\raw\LMAS_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"LMAS","2023","Limas Indonesia Makmur Tbk",".\data\raw\LMAS_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"LMAS","2024","Limas Indonesia Makmur Tbk",".\data\raw\LMAS_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"LMAS","2025","Limas Indonesia Makmur Tbk",".\data\raw\LMAS_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"PTSN","2019","Sat Nusapersada Tbk",".\data\raw\PTSN_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"PTSN","2020","Sat Nusapersada Tbk",".\data\raw\PTSN_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"PTSN","2021","Sat Nusapersada Tbk",".\data\raw\PTSN_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"PTSN","2022","Sat Nusapersada Tbk",".\data\raw\PTSN_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"PTSN","2023","Sat Nusapersada Tbk",".\data\raw\PTSN_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"PTSN","2024","Sat Nusapersada Tbk",".\data\raw\PTSN_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"PTSN","2025","Sat Nusapersada Tbk",".\data\raw\PTSN_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"SKYB","2019","Northcliff Citranusa Indonesia Tbk",".\data\raw\SKYB_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"SKYB","2020","Northcliff Citranusa Indonesia Tbk",".\data\raw\SKYB_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"SKYB","2021","Northcliff Citranusa Indonesia Tbk",".\data\raw\SKYB_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"SKYB","2022","Northcliff Citranusa Indonesia Tbk",".\data\raw\SKYB_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"SKYB","2023","Northcliff Citranusa Indonesia Tbk",".\data\raw\SKYB_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"SKYB","2024","Northcliff Citranusa Indonesia Tbk",".\data\raw\SKYB_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"SKYB","2025","Northcliff Citranusa Indonesia Tbk",".\data\raw\SKYB_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"MLPT","2019","Multipolar Technology Tbk",".\data\raw\MLPT_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"MLPT","2020","Multipolar Technology Tbk",".\data\raw\MLPT_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"MLPT","2021","Multipolar Technology Tbk",".\data\raw\MLPT_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"MLPT","2022","Multipolar Technology Tbk",".\data\raw\MLPT_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"MLPT","2023","Multipolar Technology Tbk",".\data\raw\MLPT_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"MLPT","2024","Multipolar Technology Tbk",".\data\raw\MLPT_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"MLPT","2025","Multipolar Technology Tbk",".\data\raw\MLPT_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"ATIC","2019","Anabatic Technologies Tbk",".\data\raw\ATIC_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"ATIC","2020","Anabatic Technologies Tbk",".\data\raw\ATIC_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"ATIC","2021","Anabatic Technologies Tbk",".\data\raw\ATIC_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"ATIC","2022","Anabatic Technologies Tbk",".\data\raw\ATIC_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"ATIC","2023","Anabatic Technologies Tbk",".\data\raw\ATIC_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"ATIC","2024","Anabatic Technologies Tbk",".\data\raw\ATIC_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"ATIC","2025","Anabatic Technologies Tbk",".\data\raw\ATIC_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"KIOS","2019","Kioson Komersial Indonesia Tbk",".\data\raw\KIOS_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"KIOS","2020","Kioson Komersial Indonesia Tbk",".\data\raw\KIOS_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"KIOS","2021","Kioson Komersial Indonesia Tbk",".\data\raw\KIOS_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"KIOS","2022","Kioson Komersial Indonesia Tbk",".\data\raw\KIOS_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"KIOS","2023","Kioson Komersial Indonesia Tbk",".\data\raw\KIOS_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"KIOS","2024","Kioson Komersial Indonesia Tbk",".\data\raw\KIOS_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"KIOS","2025","Kioson Komersial Indonesia Tbk",".\data\raw\KIOS_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"MCAS","2019","M Cash Integrasi Tbk",".\data\raw\MCAS_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"MCAS","2020","M Cash Integrasi Tbk",".\data\raw\MCAS_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"MCAS","2021","M Cash Integrasi Tbk",".\data\raw\MCAS_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"MCAS","2022","M Cash Integrasi Tbk",".\data\raw\MCAS_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"MCAS","2023","M Cash Integrasi Tbk",".\data\raw\MCAS_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"MCAS","2024","M Cash Integrasi Tbk",".\data\raw\MCAS_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"MCAS","2025","M Cash Integrasi Tbk",".\data\raw\MCAS_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"NFCX","2019","NFC Indonesia Tbk",".\data\raw\NFCX_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"NFCX","2020","NFC Indonesia Tbk",".\data\raw\NFCX_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"NFCX","2021","NFC Indonesia Tbk",".\data\raw\NFCX_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"NFCX","2022","NFC Indonesia Tbk",".\data\raw\NFCX_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"NFCX","2023","NFC Indonesia Tbk",".\data\raw\NFCX_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"NFCX","2024","NFC Indonesia Tbk",".\data\raw\NFCX_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"NFCX","2025","NFC Indonesia Tbk",".\data\raw\NFCX_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"DIVA","2019","Distribusi Voucher Nusantara Tbk",".\data\raw\DIVA_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"DIVA","2020","Distribusi Voucher Nusantara Tbk",".\data\raw\DIVA_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"DIVA","2021","Distribusi Voucher Nusantara Tbk",".\data\raw\DIVA_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"DIVA","2022","Distribusi Voucher Nusantara Tbk",".\data\raw\DIVA_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"DIVA","2023","Distribusi Voucher Nusantara Tbk",".\data\raw\DIVA_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"DIVA","2024","Distribusi Voucher Nusantara Tbk",".\data\raw\DIVA_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"DIVA","2025","Distribusi Voucher Nusantara Tbk",".\data\raw\DIVA_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"LUCK","2019","Sentral Mitra Informatika Tbk",".\data\raw\LUCK_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"LUCK","2020","Sentral Mitra Informatika Tbk",".\data\raw\LUCK_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"LUCK","2021","Sentral Mitra Informatika Tbk",".\data\raw\LUCK_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"LUCK","2022","Sentral Mitra Informatika Tbk",".\data\raw\LUCK_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"LUCK","2023","Sentral Mitra Informatika Tbk",".\data\raw\LUCK_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"LUCK","2024","Sentral Mitra Informatika Tbk",".\data\raw\LUCK_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"LUCK","2025","Sentral Mitra Informatika Tbk",".\data\raw\LUCK_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"ISAT","2019","Indosat Tbk",".\data\raw\ISAT_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"ISAT","2020","Indosat Tbk",".\data\raw\ISAT_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"ISAT","2021","Indosat Tbk",".\data\raw\ISAT_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"ISAT","2022","Indosat Tbk",".\data\raw\ISAT_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"ISAT","2023","Indosat Tbk",".\data\raw\ISAT_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"ISAT","2024","Indosat Tbk",".\data\raw\ISAT_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"ISAT","2025","Indosat Tbk",".\data\raw\ISAT_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"TLKM","2019","Telkom Indonesia (Persero) Tbk",".\data\raw\TLKM_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"TLKM","2020","Telkom Indonesia (Persero) Tbk",".\data\raw\TLKM_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"TLKM","2021","Telkom Indonesia (Persero) Tbk",".\data\raw\TLKM_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"TLKM","2022","Telkom Indonesia (Persero) Tbk",".\data\raw\TLKM_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"TLKM","2023","Telkom Indonesia (Persero) Tbk",".\data\raw\TLKM_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"TLKM","2024","Telkom Indonesia (Persero) Tbk",".\data\raw\TLKM_2024_FS.pdf","IDX Listed Companies > Financial Statements"
"TLKM","2025","Telkom Indonesia (Persero) Tbk",".\data\raw\TLKM_2025_FS.pdf","IDX Listed Companies > Financial Statements"
"KBLV","2019","First Media Tbk",".\data\raw\KBLV_2019_FS.pdf","IDX Listed Companies > Financial Statements"
"KBLV","2020","First Media Tbk",".\data\raw\KBLV_2020_FS.pdf","IDX Listed Companies > Financial Statements"
"KBLV","2021","First Media Tbk",".\data\raw\KBLV_2021_FS.pdf","IDX Listed Companies > Financial Statements"
"KBLV","2022","First Media Tbk",".\data\raw\KBLV_2022_FS.pdf","IDX Listed Companies > Financial Statements"
"KBLV","2023","First Media Tbk",".\data\raw\KBLV_2023_FS.pdf","IDX Listed Companies > Financial Statements"
"KBLV","2024","First Media Tbk",".\data\raw\KBLV_2024_FS.pdf","IDX Listed Companies > Financial Statements"
