"ticker","year","company_name","expected_price_csv","yahoo_symbol","source_hint"
"MTDL","2019","Metrodata Electronics Tbk",".\data\prices\prices_MTDL.JK.csv","MTDL.JK","Yahoo Finance / IDX price history"
"MTDL","2020","Metrodata Electronics Tbk",".\data\prices\prices_MTDL.JK.csv","MTDL.JK","Yahoo Finance / IDX price history"
"MTDL","2021","Metrodata Electronics Tbk",".\data\prices\prices_MTDL.JK.csv","MTDL.JK","Yahoo Finance / IDX price history"
"MTDL","2022","Metrodata Electronics Tbk",".\data\prices\prices_MTDL.JK.csv","MTDL.JK","Yahoo Finance / IDX price history"
"MTDL","2023","Metrodata Electronics Tbk",".\data\prices\prices_MTDL.JK.csv","MTDL.JK","Yahoo Finance / IDX price history"
"MTDL","2024","Metrodata Electronics Tbk",".\data\prices\prices_MTDL.JK.csv","MTDL.JK","Yahoo Finance / IDX price history"
"MTDL","2025","Metrodata Electronics Tbk",".\data\prices\prices_MTDL.JK.csv","MTDL.JK","Yahoo Finance / IDX price history"
"LMAS","2019","Limas Indonesia Makmur Tbk",".\data\prices\prices_LMAS.JK.csv","LMAS.JK","Yahoo Finance / IDX price history"
"LMAS","2020","Limas Indonesia Makmur Tbk",".\data\prices\prices_LMAS.JK.csv","LMAS.JK","Yahoo Finance / IDX price history"
"LMAS","2021","Limas Indonesia Makmur Tbk",".\data\prices\prices_LMAS.JK.csv","LMAS.JK","Yahoo Finance / IDX price history"
"LMAS","2022","Limas Indonesia Makmur Tbk",".\data\prices\prices_LMAS.JK.csv","LMAS.JK","Yahoo Finance / IDX price history"
"LMAS","2023","Limas Indonesia Makmur Tbk",".\data\prices\prices_LMAS.JK.csv","LMAS.JK","Yahoo Finance / IDX price history"
"LMAS","2024","Limas Indonesia Makmur Tbk",".\data\prices\prices_LMAS.JK.csv","LMAS.JK","Yahoo Finance / IDX price history"
"LMAS","2025","Limas Indonesia Makmur Tbk",".\data\prices\prices_LMAS.JK.csv","LMAS.JK","Yahoo Finance / IDX price history"
"PTSN","2019","Sat Nusapersada Tbk",".\data\prices\prices_PTSN.JK.csv","PTSN.JK","Yahoo Finance / IDX price history"
"PTSN","2020","Sat Nusapersada Tbk",".\data\prices\prices_PTSN.JK.csv","PTSN.JK","Yahoo Finance / IDX price history"
"PTSN","2021","Sat Nusapersada Tbk",".\data\prices\prices_PTSN.JK.csv","PTSN.JK","Yahoo Finance / IDX price history"
"PTSN","2022","Sat Nusapersada Tbk",".\data\prices\prices_PTSN.JK.csv","PTSN.JK","Yahoo Finance / IDX price history"
"PTSN","2023","Sat Nusapersada Tbk",".\data\prices\prices_PTSN.JK.csv","PTSN.JK","Yahoo Finance / IDX price history"
"PTSN","2024","Sat Nusapersada Tbk",".\data\prices\prices_PTSN.JK.csv","PTSN.JK","Yahoo Finance / IDX price history"
"PTSN","2025","Sat Nusapersada Tbk",".\data\prices\prices_PTSN.JK.csv","PTSN.JK","Yahoo Finance / IDX price history"
"SKYB","2019","Northcliff Citranusa Indonesia Tbk",".\data\prices\prices_SKYB.JK.csv","SKYB.JK","Yahoo Finance / IDX price history"
"SKYB","2020","Northcliff Citranusa Indonesia Tbk",".\data\prices\prices_SKYB.JK.csv","SKYB.JK","Yahoo Finance / IDX price history"
"SKYB","2021","Northcliff Citranusa Indonesia Tbk",".\data\prices\prices_SKYB.JK.csv","SKYB.JK","Yahoo Finance / IDX price history"
"SKYB","2022","Northcliff Citranusa Indonesia Tbk",".\data\prices\prices_SKYB.JK.csv","SKYB.JK","Yahoo Finance / IDX price history"
"SKYB","2023","Northcliff Citranusa Indonesia Tbk",".\data\prices\prices_SKYB.JK.csv","SKYB.JK","Yahoo Finance / IDX price history"
"SKYB","2024","Northcliff Citranusa Indonesia Tbk",".\data\prices\prices_SKYB.JK.csv","SKYB.JK","Yahoo Finance / IDX price history"
"SKYB","2025","Northcliff Citranusa Indonesia Tbk",".\data\prices\prices_SKYB.JK.csv","SKYB.JK","Yahoo Finance / IDX price history"
"MLPT","2019","Multipolar Technology Tbk",".\data\prices\prices_MLPT.JK.csv","MLPT.JK","Yahoo Finance / IDX price history"
"MLPT","2020","Multipolar Technology Tbk",".\data\prices\prices_MLPT.JK.csv","MLPT.JK","Yahoo Finance / IDX price history"
"MLPT","2021","Multipolar Technology Tbk",".\data\prices\prices_MLPT.JK.csv","MLPT.JK","Yahoo Finance / IDX price history"
"MLPT","2022","Multipolar Technology Tbk",".\data\prices\prices_MLPT.JK.csv","MLPT.JK","Yahoo Finance / IDX price history"
"MLPT","2023","Multipolar Technology Tbk",".\data\prices\prices_MLPT.JK.csv","MLPT.JK","Yahoo Finance / IDX price history"
"MLPT","2024","Multipolar Technology Tbk",".\data\prices\prices_MLPT.JK.csv","MLPT.JK","Yahoo Finance / IDX price history"
"MLPT","2025","Multipolar Technology Tbk",".\data\prices\prices_MLPT.JK.csv","MLPT.JK","Yahoo Finance / IDX price history"
"ATIC","2019","Anabatic Technologies Tbk",".\data\prices\prices_ATIC.JK.csv","ATIC.JK","Yahoo Finance / IDX price history"
"ATIC","2020","Anabatic Technologies Tbk",".\data\prices\prices_ATIC.JK.csv","ATIC.JK","Yahoo Finance / IDX price history"
"ATIC","2021","Anabatic Technologies Tbk",".\data\prices\prices_ATIC.JK.csv","ATIC.JK","Yahoo Finance / IDX price history"
"ATIC","2022","Anabatic Technologies Tbk",".\data\prices\prices_ATIC.JK.csv","ATIC.JK","Yahoo Finance / IDX price history"
"ATIC","2023","Anabatic Technologies Tbk",".\data\prices\prices_ATIC.JK.csv","ATIC.JK","Yahoo Finance / IDX price history"
"ATIC","2024","Anabatic Technologies Tbk",".\data\prices\prices_ATIC.JK.csv","ATIC.JK","Yahoo Finance / IDX price history"
"ATIC","2025","Anabatic Technologies Tbk",".\data\prices\prices_ATIC.JK.csv","ATIC.JK","Yahoo Finance / IDX price history"
"KIOS","2019","Kioson Komersial Indonesia Tbk",".\data\prices\prices_KIOS.JK.csv","KIOS.JK","Yahoo Finance / IDX price history"
"KIOS","2020","Kioson Komersial Indonesia Tbk",".\data\prices\prices_KIOS.JK.csv","KIOS.JK","Yahoo Finance / IDX price history"
"KIOS","2021","Kioson Komersial Indonesia Tbk",".\data\prices\prices_KIOS.JK.csv","KIOS.JK","Yahoo Finance / IDX price history"
"KIOS","2022","Kioson Komersial Indonesia Tbk",".\data\prices\prices_KIOS.JK.csv","KIOS.JK","Yahoo Finance / IDX price history"
