"ticker","company_name","listing_date","active_status","idx_ic_sector","has_fs_2019_2025","has_ar_2019_2025","has_price_data","idr_reporting","include_flag","exclude_reason"
"AREA","Dunia Virtual Online Tbk","2024-04-01","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"ATIC","Anabatic Technologies Tbk","2015-07-08","Active","Technology","","","","","0","incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"AWAN","Era Digital Media Tbk","2023-04-18","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"AXIO","Tera Data Indonusa Tbk","2022-07-20","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"BALI","Bali Towerindo Sentra Tbk","2014-03-13","Active","Telecommunication","","","","","0","non_technology_sector;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"BELI","Global Digital Niaga Tbk","2022-11-08","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"BTEL","Bakrie Telecom Tbk","2006-02-03","Active","Telecommunication","","","","","0","non_technology_sector;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"BUKA","Bukalapak.com Tbk","2021-08-06","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"CASH","Cashlez Worldwide Indonesia Tbk","2020-05-04","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"CENT","Centratama Telekomunikasi Indonesia Tbk","2001-11-01","Active","Telecommunication","","","","","0","non_technology_sector;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"CHIP","Pelita Teknologi Global Tbk","2023-02-08","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"CYBR","ITSEC Asia Tbk","2023-08-08","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"DATA","Remala Abadi Tbk","2024-05-07","Active","Telecommunication","","","","","0","non_technology_sector;listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"DCII","DCI Indonesia Tbk","2021-01-06","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"DIVA","Distribusi Voucher Nusantara Tbk","2018-11-27","Active","Technology","","","","","0","incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"DMMX","Digital Mediatama Maxima Tbk","2019-10-21","Active","Technology","","","","","0","incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"EDGE","Indointernet Tbk","2021-02-08","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"ELIT","Data Sinergitama Jaya Tbk","2023-01-06","Active","Technology","","","","","0","listing_after_cutoff;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"ENVY","Envy Technologies Indonesia Tbk","2019-07-08","Active","Technology","","","","","0","incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
"EXCL","XL Axiata Tbk","2005-09-29","Active","Telecommunication","","","","","0","non_technology_sector;incomplete_financial_statements;incomplete_annual_reports;missing_price_data;non_idr_reporting"
