cik,entity_name,fy,assets,liabilities,net_income,revenue,shares_outstanding,roa,roe,der,net_margin,eps,price,book_value_per_share,pbv,fetched_at
0000320193,Apple Inc.,2019,338516000000,248028000000,13686000000,64040000000,4648913000,0.04042940363232462,0.15124657413137654,2.7410043320661304,0.2137101811367895,2.943913985914557,73.4124984741211,19.464334996159316,3.771641748285096,2026-02-28T09:00:21.325309+00:00
0000320193,Apple Inc.,2020,323888000000,258549000000,12673000000,64698000000,17528214000,0.039127723163562715,0.19395766693705138,3.957039440456695,0.19587931620761073,0.7230057779988309,132.69000244140625,3.727647323338248,35.59617928730913,2026-02-28T09:00:21.325309+00:00
0000320193,Apple Inc.,2021,351002000000,287912000000,94680000000,365817000000,16864919000,0.26974205275183616,1.5007132667617689,4.563512442542399,0.2588179335569424,5.61402044089272,177.57000732421875,3.740901453484597,47.4671705555929,2026-02-28T09:00:21.325309+00:00
0000320193,Apple Inc.,2022,352755000000,302083000000,99803000000,394328000000,16325819000,0.2829244092925685,1.9695887275023682,5.961536943479634,0.2530964070519973,6.1132002014722815,129.92999267578125,3.1037952827971447,41.861650282130775,2026-02-28T09:00:21.325309+00:00
0000320193,Apple Inc.,2023,352583000000,290437000000,96995000000,383285000000,15812547000,0.27509834563776475,1.5607601454639075,4.673462491552152,0.2530623426432028,6.134052913803197,192.52999877929688,3.930170136411294,48.987700811115346,2026-02-28T09:00:21.325309+00:00
0000320193,Apple Inc.,2024,364980000000,308030000000,93736000000,391035000000,15408095000,0.25682503150857583,1.6459350307287095,5.408779631255487,0.23971255769943867,6.083555429791938,250.4199981689453,3.696109090708488,67.75232873901554,2026-02-28T09:00:21.325309+00:00
0000320193,Apple Inc.,2025,359241000000,285508000000,112010000000,416161000000,15004697000,0.3117962593356549,1.5191298333175105,3.872187487285205,0.2691506412181824,7.464995794316939,271.8599853515625,4.913994597824934,55.32362316228329,2026-02-28T09:00:21.325309+00:00
0000789019,MICROSOFT CORPORATION,2019,286556000000,184226000000,13187000000,33717000000,7753000000,0.04601892823741258,0.1288673898172579,1.8003127137691781,0.39110834297238783,1.700889978073004,157.6999969482422,13.19876176963756,11.948090260331492,2026-02-28T09:00:43.351076100+00:00
0000789019,MICROSOFT CORPORATION,2020,301311000000,183007000000,11202000000,38033000000,7683000000,0.0371775341756524,0.09468826075196105,1.5469214903976196,0.294533694423264,1.4580242092932447,222.4199981689453,15.398151763633997,14.444590596531029,2026-02-28T09:00:43.351076100+00:00
0000789019,MICROSOFT CORPORATION,2021,333779000000,191791000000,61271000000,168088000000,7608000000,0.18356757015869782,0.4315223821731414,1.3507549933797223,0.36451739564989766,8.053496319663513,336.32000732421875,18.66298633017876,18.02069622589695,2026-02-28T09:00:43.351076100+00:00
0000789019,MICROSOFT CORPORATION,2022,364840000000,198298000000,72738000000,198270000000,7540000000,0.19936958666812848,0.4367546925099975,1.1906786276134549,0.3668633681343622,9.646949602122016,239.82000732421875,22.087798408488062,10.857578600140561,2026-02-28T09:00:43.351076100+00:00
0000789019,MICROSOFT CORPORATION,2023,411976000000,205753000000,72361000000,211915000000,7472000000,0.175643726819038,0.35088714643856406,0.9977209137681055,0.3414623787839464,9.68428800856531,376.0400085449219,27.59943790149893,13.624915474256781,2026-02-28T09:00:43.351076100+00:00
0000789019,MICROSOFT CORPORATION,2024,512163000000,243686000000,88136000000,245122000000,7469000000,0.17208583985957596,0.32828137978299815,0.9076606189729474,0.35955972944084985,11.800240996117285,421.5,35.94550810014727,11.726082681198019,2026-02-28T09:00:43.351076100+00:00
0000789019,MICROSOFT CORPORATION,2025,619003000000,275524000000,101832000000,281724000000,7465000000,0.16450970350709124,0.2964722734140952,0.8021567548525529,0.3614601524896707,13.64125920964501,483.6199951171875,46.011922304085736,10.510753972003542,2026-02-28T09:00:43.351076100+00:00
0001652044,ALPHABET INC.,2019,275909000000,74467000000,34343000000,161857000000,,0.1244721991671167,0.17048579740074066,0.369669681595695,0.2121811228430034,,66.96949768066406,,,2026-02-28T09:00:44.684129200+00:00
0001652044,ALPHABET INC.,2020,319616000000,97072000000,40269000000,182527000000,,0.12599181517821387,0.18094848659141563,0.436192393414336,0.22061941520980458,,87.63200378417969,,,2026-02-28T09:00:44.684129200+00:00
0001652044,ALPHABET INC.,2021,359268000000,107633000000,76033000000,257637000000,,0.21163309841121392,0.30215590041131,0.4277346156138852,0.2951167728237792,,144.8520050048828,,,2026-02-28T09:00:44.684129200+00:00
0001652044,ALPHABET INC.,2022,365264000000,109120000000,59972000000,282836000000,,0.16418809409084936,0.2341339246673746,0.42601036916734336,0.2120380715326196,,88.2300033569336,,,2026-02-28T09:00:44.684129200+00:00
0001652044,ALPHABET INC.,2023,402392000000,119013000000,73795000000,307394000000,,0.18339082287918249,0.26041096905557576,0.41997819175027085,0.24006649446638517,,139.69000244140625,,,2026-02-28T09:00:44.684129200+00:00
0001652044,ALPHABET INC.,2024,450256000000,125172000000,100118000000,350018000000,12447000000,0.22235794747876764,0.30797578472025694,0.38504509603671666,0.28603671811164,8.043544629227926,189.3000030517578,26.117458022013338,7.248025550273866,2026-02-28T09:00:44.684129200+00:00
0001652044,ALPHABET INC.,2025,595281000000,180016000000,132170000000,402836000000,12230000000,0.22202959610671263,0.3182786895115167,0.4334966828410774,0.3280987796522654,10.807031888798038,313,33.954619787408014,9.218185977628742,2026-02-28T09:00:44.684129200+00:00
0001045810,NVIDIA CORP,2019,13292000000,3950000000,567000000,2205000000,625000000,0.04265723743605176,0.06069364161849711,0.4228216655962321,0.2571428571428571,0.9072,5.882500171661377,14.9472,0.3935519810841748,2026-02-28T09:00:47.258851700+00:00
0001045810,NVIDIA CORP,2020,17315000000,5111000000,950000000,3105000000,618000000,0.054865723361247475,0.07784333005571943,0.4187971156997706,0.3059581320450886,1.5372168284789645,13.05500030517578,19.74757281553398,0.6610939190919888,2026-02-28T09:00:47.258851700+00:00
0001045810,NVIDIA CORP,2021,28791000000,11898000000,4332000000,16675000000,628000000,0.1504636865687194,0.2564375776949032,0.7043153969099627,0.25979010494752625,6.898089171974522,29.410999298095703,26.89968152866242,1.0933586431778903,2026-02-28T09:00:47.258851700+00:00
0001045810,NVIDIA CORP,2022,44187000000,17575000000,9752000000,26914000000,2535000000,0.22069839545567702,0.3664512250112731,0.6604163535247257,0.3623393029649996,3.8469428007889546,14.61400032043457,10.497830374753452,1.3920972047310098,2026-02-28T09:00:47.258851700+00:00
0001045810,NVIDIA CORP,2023,41182000000,19081000000,4368000000,26974000000,2507000000,0.10606575688407557,0.19763811592235644,0.8633545993393964,0.16193371394676356,1.7423214998005585,49.52199935913086,8.815715995213402,5.617467643696713,2026-02-28T09:00:47.258851700+00:00
0001045810,NVIDIA CORP,2024,65728000000,22750000000,29760000000,60922000000,2494000000,0.4527750730282376,0.6924472986178976,0.529340592861464,0.4884934834706674,11.932638331996792,134.2899932861328,17.232558139534884,7.79280662794023,2026-02-28T09:00:47.258851700+00:00
0001045810,NVIDIA CORP,2025,111601000000,32274000000,72880000000,130497000000,24804000000,0.6530407433625147,0.9187288060811577,0.4068476054811098,0.5584802715771244,2.938235768424448,186.5,3.198153523625222,58.3148990885827,2026-02-28T09:00:47.258851700+00:00
0000796343,ADOBE INC.,2019,20762400000,10232245000,851861000,2991945000,491572000,0.04102902361962008,0.08089728973600104,0.9717088684829426,0.28471813485876246,1.7329323069662226,329.80999755859375,21.42138893183501,15.396293798132415,2026-02-28T09:00:52.237379500+00:00
0000796343,ADOBE INC.,2020,24284000000,11020000000,2250000000,3424000000,485500000,0.09265359907758194,0.16963208685162848,0.8308202653799759,0.657126168224299,4.634397528321318,500.1199951171875,27.320288362512873,18.305809531769793,2026-02-28T09:00:52.237379500+00:00
0000796343,ADOBE INC.,2021,27241000000,12444000000,4822000000,15785000000,481000000,0.1770125913145626,0.3258768669324863,0.840981279989187,0.3054798859676908,10.024948024948024,567.0599975585938,30.762993762993762,18.43318637735241,2026-02-28T09:00:52.237379500+00:00
0000796343,ADOBE INC.,2022,27165000000,13114000000,4756000000,17606000000,470900000,0.17507822565801584,0.3384812468863426,0.9333143548501885,0.27013518118823127,10.099808876619239,336.5299987792969,29.83860692291357,11.278341500617103,2026-02-28T09:00:52.237379500+00:00
0000796343,ADOBE INC.,2023,29779000000,13261000000,5428000000,19409000000,459100000,0.18227610060781088,0.32861121201113935,0.8028211647899262,0.2796640733680251,11.823132215203659,596.5999755859375,35.97908952297974,16.581853056756504,2026-02-28T09:00:52.237379500+00:00
0000796343,ADOBE INC.,2024,30230000000,16125000000,5560000000,21505000000,449700000,0.18392325504465762,0.3941864587025877,1.1432116270825947,0.25854452452917925,12.363798087613965,444.6799926757813,31.365354680898378,14.177425927422817,2026-02-28T09:00:52.237379500+00:00
0000796343,ADOBE INC.,2025,29496000000,17873000000,7130000000,23769000000,427000000,0.2417276918904258,0.6134388712036479,1.537726920760561,0.2999705498758888,16.697892271662763,349.989990234375,27.220140515222482,12.85775839542959,2026-02-28T09:00:52.237379500+00:00
0001341439,ORACLE CORP,2019,108709000000,,11083000000,39506000000,3732000000,0.10195108040732598,,,0.28053966486103377,2.969721329046088,52.97999954223633,,,2026-02-28T09:00:53.527597200+00:00
0001341439,ORACLE CORP,2020,115438000000,,10135000000,39068000000,3294000000,0.08779604636254959,,,0.25941947373809765,3.0768063145112325,64.69000244140625,,,2026-02-28T09:00:53.527597200+00:00
0001341439,ORACLE CORP,2021,131107000000,,13746000000,40479000000,3022000000,0.10484566041477572,,,0.3395834877343808,4.548643282594308,87.20999908447266,,,2026-02-28T09:00:53.527597200+00:00
0001341439,ORACLE CORP,2022,109297000000,,6717000000,42440000000,2786000000,0.0614563986202732,,,0.15827049952874647,2.4109834888729362,81.73999786376953,,,2026-02-28T09:00:53.527597200+00:00
0001341439,ORACLE CORP,2023,134384000000,,8503000000,49954000000,2766000000,0.06327390165495893,,,0.17021659927132962,3.07411424439624,105.43000030517578,,,2026-02-28T09:00:53.527597200+00:00
0001341439,ORACLE CORP,2024,140976000000,,10467000000,52961000000,2823000000,0.07424668028600613,,,0.19763599629916354,3.7077577045696066,166.63999938964844,,,2026-02-28T09:00:53.527597200+00:00
0001341439,ORACLE CORP,2025,168361000000,,12443000000,57399000000,2866000000,0.07390666484518386,,,0.21678078015296434,4.34159106769016,194.91000366210935,,,2026-02-28T09:00:53.527597200+00:00
